t (s);roll (deg);TL (%);TR (%)
161292116;-9.979996;37.32;42.67
161302128;-9.470001;37.63;42.36
161312112;-8.949997;37.93;42.06
161322096;-8.419998;38.19;41.8
161332092;-7.850006;38.52;41.47
161342104;-7.2700043;38.84;41.15
161352088;-6.6799927;39.11;40.88
161362056;-6.080002;39.42;40.57
161372068;-5.470001;39.7;40.29
161382052;-4.8399963;40.03;39.96
161392044;-4.220001;40.28;39.71
161402040;-3.5800018;40.59;39.4
161412048;-2.949997;40.84;39.15
161422040;-2.3099976;41.15;38.84
161432040;-1.6600037;41.44;38.55
161442028;-1.0200043;41.73;38.26
161452012;-0.3600006;42.02;37.97
161462016;0.2899933;42.31;37.68
161472012;0.94000244;42.57;37.42
161481972;1.6000061;42.87;37.12
161491952;2.2400055;43.09;36.9
161501964;2.869995;43.32;36.67
161511932;3.5;43.58;36.41
161521932;4.1100006;43.79;36.2
161531920;4.720001;44.05;35.94
161541908;5.3200073;44.29;35.7
161551916;5.919998;44.49;35.5
161561908;6.4900055;44.69;35.3
161571892;7.050003;44.86;35.13
161581904;7.5899963;45.02;34.97
161591892;8.110001;45.22;34.77
161601888;8.619995;45.37;34.62
161611900;9.100006;45.47;34.52
161621884;9.550003;45.58;34.41
161631868;9.979996;45.7;34.29
161641852;10.389999;45.77;34.22
161651848;10.770004;45.87;34.12
161661852;11.119995;45.9;34.09
161672248;11.429993;45.88;34.11
161681852;11.720001;46.0;33.99
161691828;11.979996;45.98;34.01
161701820;12.210007;45.95;34.04
161711816;12.389999;45.9;34.09
161721816;12.550003;45.87;34.12
161731792;12.669998;45.81;34.18
161741780;12.7599945;45.75;34.24
161751796;12.809998;45.64;34.35
161761792;12.839996;45.57;34.42
161771756;12.820007;45.41;34.58
161781748;12.779999;45.32;34.67
161791744;12.710007;45.17;34.82
161801716;12.600006;45.02;34.97
161811704;12.470001;44.89;35.1
161821692;12.309998;44.7;35.29
161832080;12.119995;44.55;35.44
161841696;11.889999;44.27;35.72
161851676;11.630005;44.12;35.87
161861672;11.350006;43.88;36.11
161871664;11.029999;43.64;36.35
161881652;10.690002;43.42;36.57
161891660;10.320007;43.18;36.81
161901644;9.940002;42.95;37.04
161911660;9.520004;42.68;37.31
161921636;9.080002;42.39;37.6
161931628;8.619995;42.13;37.86
161941612;8.139999;41.89;38.1
161951608;7.6600037;41.64;38.35
161961592;7.1399994;41.32;38.67
161971588;6.6100006;41.06;38.93
161981560;6.0700073;40.77;39.22
161991556;5.529999;40.54;39.45
162001548;4.9600067;40.23;39.76
162011536;4.380005;39.94;40.05
162021544;3.800003;39.67;40.32
162031544;3.2100067;39.43;40.56
162041524;2.6100006;39.09;40.9
162051524;2.0;38.83;41.16
162061528;1.3899994;38.54;41.45
162071524;0.7799988;38.3;41.69
162081524;0.16999817;38.03;41.96
162091504;-0.44999695;37.75;42.24
162101488;-1.0599976;37.5;42.49
162111480;-1.6699982;37.23;42.76
162121476;-2.2799988;36.99;43.0
162131488;-2.899994;36.73;43.26
162141456;-3.5099945;36.46;43.53
162151444;-4.100006;36.26;43.73
162161432;-4.6799927;36.06;43.93
162171444;-5.25;35.87;44.12
162181440;-5.8099976;35.66;44.33
162191428;-6.3600006;35.44;44.55
162201416;-6.899994;35.24;44.75
162211412;-7.4299927;35.09;44.9
162221396;-7.9400024;34.91;45.08
162231400;-8.419998;34.78;45.21
162241380;-8.899994;34.61;45.38
162251384;-9.339996;34.53;45.46
162261392;-9.7599945;34.45;45.54
162271364;-10.160004;34.3;45.69
162281352;-10.539993;34.25;45.74
162291348;-10.889999;34.18;45.81
162301356;-11.210007;34.13;45.86
162311332;-11.520004;34.05;45.94
162321336;-11.800003;34.04;45.95
162331344;-12.039993;34.04;45.95
162341320;-12.270004;34.02;45.97
162351312;-12.440002;34.1;45.89
162361296;-12.600006;34.1;45.89
162371284;-12.729996;34.15;45.84
162381292;-12.820007;34.21;45.78
162391312;-12.880005;34.32;45.67
162401300;-12.899994;34.41;45.58
162411256;-12.899994;34.51;45.48
162421268;-12.850006;34.66;45.33
162431256;-12.779999;34.79;45.2
162441252;-12.669998;34.97;45.02
162451240;-12.529999;35.1;44.89
162461228;-12.360001;35.3;44.69
162471212;-12.160004;35.47;44.52
162481196;-11.929993;35.67;44.32
162491180;-11.679993;35.85;44.14
162501184;-11.399994;36.05;43.94
162511168;-11.100006;36.27;43.72
162521160;-10.779999;36.49;43.5
162531156;-10.419998;36.74;43.25
162541168;-10.050003;36.95;43.04
162551148;-9.649994;37.21;42.78
162561140;-9.220001;37.49;42.5
162571132;-8.779999;37.71;42.28
162581144;-8.330002;37.94;42.05
162591152;-7.850006;38.25;41.74
162601120;-7.350006;38.53;41.46
162611088;-6.8399963;38.8;41.19
162621096;-6.3099976;39.07;40.92
162631080;-5.7700043;39.33;40.66
162641060;-5.220001;39.6;40.39
162651064;-4.6600037;39.88;40.11
162661052;-4.080002;40.19;39.8
162671044;-3.5;40.46;39.53
162681048;-2.899994;40.73;39.26
162691048;-2.300003;41.03;38.96
162701028;-1.6900024;41.31;38.68
162711048;-1.0800018;41.57;38.42
162721040;-0.4600067;41.87;38.12
162731012;0.16000366;42.13;37.86
162741016;0.7799988;42.4;37.59
162751028;1.3999939;42.64;37.35
162761016;2.0099945;42.89;37.1
162770980;2.619995;43.16;36.83
162780988;3.2400055;43.44;36.55
162790976;3.8399963;43.66;36.33
162800960;4.449997;43.92;36.07
162810924;5.029999;44.09;35.9
162820936;5.6100006;44.31;35.68
162830928;6.1799927;44.53;35.46
162840908;6.7299957;44.73;35.26
162850920;7.2899933;44.96;35.03
162860916;7.8200073;45.09;34.9
162870916;8.320007;45.24;34.75
162880920;8.820007;45.42;34.57
162890884;9.300003;45.58;34.41
162900872;9.75;45.65;34.34
162910876;10.190002;45.8;34.19
162920880;10.600006;45.88;34.11
162930856;10.979996;45.98;34.01
162940848;11.350006;46.07;33.92
162950840;11.690002;46.12;33.87
162960836;12.0;46.16;33.83
162970828;12.300003;46.22;33.77
162980820;12.559998;46.22;33.77
162990800;12.779999;46.2;33.79
163000800;12.9900055;46.22;33.77
163010788;13.160004;46.17;33.82
163020792;13.300003;46.16;33.83
163030780;13.429993;46.14;33.85
163040776;13.5099945;46.05;33.94
163050752;13.570007;45.96;34.03
163060744;13.589996;45.88;34.11
163070724;13.589996;45.78;34.21
163080732;13.550003;45.66;34.33
163090716;13.479996;45.53;34.46
163100712;13.389999;45.41;34.58
