t (µs);roll (deg);T_sample (µs)
51496288;23,690002;9992,000
51506264;21,169998;9976,000
51516264;18,309998;10000,000
51526268;15,199997;10004,000
51536260;11,929993;9992,000
51546256;8,580002;9996,000
51556252;5,25;9996,000
51566232;2,0099945;9980,000
51576240;-1,0099945;10008,000
51586216;-3,7400055;9976,000
51596220;-6,1100006;10004,000
51606200;-8,139999;9980,000
51616192;-9,800003;9992,000
51626176;-11,190002;9984,000
51636168;-12,380005;9992,000
51646160;-13,449997;9992,000
51656160;-14,440002;10000,000
51666156;-15,339996;9996,000
51676140;-16,149994;9984,000
51686132;-16,830002;9992,000
51696124;-17,339996;9992,000
51706108;-17,669998;9984,000
51716112;-17,880005;10004,000
51726096;-18,050003;9984,000
51736092;-18,199997;9996,000
51746088;-18,330002;9996,000
51756064;-18,399994;9976,000
51766052;-18,369995;9988,000
51776060;-18,130005;10008,000
51786048;-17,600006;9988,000
51796028;-16,660004;9980,000
51806032;-15,279999;10004,000
51816016;-13,440002;9984,000
51825992;-11,149994;9976,000
51835992;-8,470001;10000,000
51845984;-5,5;9992,000
51855984;-2,3099976;10000,000
51865976;0,9700012;9992,000
51875952;4,2400055;9976,000
51885992;7,470001;10040,000
51895964;10,630005;9972,000
51905976;13,660004;10012,000
51915956;16,529999;9980,000
51925948;19,259995;9992,000
51935940;21,86;9992,000
51945920;24,330002;9980,000
51955900;26,660004;9980,000
51965884;28,779999;9984,000
51975868;30,61;9984,000
51985872;32,11;10004,000
51995852;33,270004;9980,000
52005844;34,08;9992,000
52015836;34,550003;9992,000
52025820;34,699997;9984,000
52035804;34,539993;9984,000
52045784;34,059998;9980,000
52055784;33,229996;10000,000
52065772;32;9988,000
52075764;30,339996;9992,000
52085752;28,259995;9988,000
52095760;25,800003;10008,000
52105756;23,020004;9996,000
52115764;20,009995;10008,000
52125748;16,869995;9984,000
52135748;13,669998;10000,000
52145744;10,470001;9996,000
52155728;7,25;9984,000
52165716;4,050003;9988,000
52175728;0,8699951;10012,000
52185704;-2,199997;9976,000
52195672;-5,100006;9968,000
52205672;-7,7599945;10000,000
52215660;-10,110001;9988,000
52225656;-12,139999;9996,000
52235632;-13,839996;9976,000
52245628;-15,179993;9996,000
52255608;-16,199997;9980,000
52265612;-16,940002;10004,000
52275604;-17,509995;9992,000
52285596;-18,050003;9992,000
52295584;-18,61;9988,000
52305592;-19,220001;10008,000
52315584;-19,809998;9992,000
52325568;-20,369995;9984,000
52335556;-20,869995;9988,000
52345536;-21,259995;9980,000
52355544;-21,559998;10008,000
52365528;-21,820007;9984,000
52375524;-22,059998;9996,000
52385520;-22,270004;9996,000
52395504;-22,419998;9984,000
52405480;-22,479996;9976,000
52415468;-22,39;9988,000
52425452;-22,100006;9984,000
52435464;-21,559998;10012,000
52445444;-20,699997;9980,000
52455440;-19,520004;9996,000
52465440;-17,979996;10000,000
52475456;-16,11;10016,000
52485424;-13,960007;9968,000
52495424;-11,610001;10000,000
52505424;-9,100006;10000,000
52515428;-6,470001;10004,000
52525400;-3,7899933;9972,000
52535400;-1,1300049;10000,000
52545396;1,4299927;9996,000
52555384;3,8399963;9988,000
52565352;6,050003;9968,000
52575360;8,059998;10008,000
52585356;9,899994;9996,000
52595332;11,589996;9976,000
52605344;13,110001;10012,000
52615332;14,4900055;9988,000
52625336;15,7400055;10004,000
52635328;16,910004;9992,000
