t (s);roll (deg);TL (%);TR (%)
85670844;17.949997;44.79;35.2
85680848;17.11;44.32;35.67
85690832;16.210007;43.76;36.23
85700840;15.270004;43.23;36.76
85710832;14.309998;42.74;37.25
85720812;13.300003;42.17;37.82
85730812;12.2599945;41.65;38.34
85740788;11.210007;41.16;38.83
85750804;10.130005;40.62;39.37
85760788;9.020004;40.06;39.93
85770784;7.9100037;39.57;40.42
85780764;6.7599945;38.98;41.01
85790752;5.5899963;38.41;41.58
85800748;4.399994;37.88;42.11
85810744;3.199997;37.34;42.65
85820728;2.0;36.79;43.2
85830736;0.7700043;36.25;43.74
85840720;-0.44000244;35.75;44.24
85850716;-1.6600037;35.23;44.76
85860696;-2.880005;34.73;45.26
85870684;-4.100006;34.21;45.78
85880704;-5.3200073;33.75;46.24
85890676;-6.5200043;33.25;46.74
85900684;-7.7100067;32.81;47.18
85910664;-8.899994;32.32;47.67
85920672;-10.070007;31.89;48.1
85930652;-11.229996;31.46;48.53
85940656;-12.350006;31.13;48.86
85950636;-13.440002;30.75;49.24
85960636;-14.5099945;30.37;49.62
85970616;-15.559998;30.03;49.96
85980612;-16.550003;29.77;50.22
85990596;-17.520004;29.46;50.53
86000592;-18.460007;29.19;50.8
86010576;-19.339996;29.0;50.99
86020576;-20.179993;28.79;51.2
86030564;-20.940002;28.73;51.26
86040552;-21.660004;28.56;51.43
86050548;-22.339996;28.44;51.55
86060548;-22.979996;28.29;51.7
86070524;-23.539993;28.29;51.7
86080532;-24.050003;28.29;51.7
86090524;-24.490005;28.31;51.68
86100524;-24.880005;28.36;51.63
86110500;-25.210007;28.39;51.6
86120500;-25.470001;28.5;51.49
86130496;-25.679993;28.6;51.39
86140488;-25.830002;28.74;51.25
86150484;-25.910004;28.93;51.06
86160480;-25.929993;29.15;50.84
86170480;-25.89;29.34;50.65
86180468;-25.770004;29.65;50.34
86190432;-25.600006;29.89;50.1
86200428;-25.380005;30.19;49.8
86210416;-25.080002;30.52;49.47
86220420;-24.729996;30.87;49.12
86230404;-24.320007;31.25;48.74
86240800;-23.850006;31.56;48.43
86250388;-23.330002;32.09;47.9
86260384;-22.75;32.43;47.56
86270384;-22.130005;32.84;47.15
86280388;-21.470001;33.28;46.71
86290396;-20.75;33.73;46.26
86300364;-19.990005;34.22;45.77
86310344;-19.169998;34.75;45.24
86320356;-18.309998;35.23;44.76
86330340;-17.399994;35.76;44.23
86340344;-16.470001;36.25;43.74
86350336;-15.470001;36.87;43.12
86360328;-14.470001;37.32;42.67
86370328;-13.419998;37.91;42.08
86380312;-12.339996;38.45;41.54
86390300;-11.2400055;38.99;41.0
86400280;-10.119995;39.53;40.46
86410300;-8.979996;40.06;39.93
86420272;-7.800003;40.69;39.3
86430260;-6.6100006;41.2;38.79
86440256;-5.399994;41.8;38.19
86450244;-4.169998;42.35;37.64
86460260;-2.9400024;42.86;37.13
86470252;-1.7100067;43.41;36.58
86480232;-0.44999695;43.99;36.0
86490220;0.80999756;44.53;35.46
86500208;2.0700073;45.08;34.91
86510588;3.3300018;45.42;34.57
86520188;4.5899963;46.3;33.69
86530180;5.850006;46.63;33.36
86540176;7.080002;47.06;32.93
86550184;8.289993;47.48;32.51
86560176;9.479996;47.92;32.07
86570156;10.660004;48.38;31.61
86580144;11.839996;48.86;31.13
86590132;12.979996;49.22;30.77
86600136;14.110001;49.64;30.35
86610132;15.190002;49.91;30.08
86620120;16.25;50.32;29.67
86630120;17.270004;50.59;29.4
86640124;18.25;50.86;29.13
86650116;19.199997;51.15;28.84
86660108;20.100006;51.4;28.59
86670092;20.960007;51.6;28.39
86680088;21.770004;51.77;28.22
86690076;22.529999;51.93;28.06
86700060;23.25;52.1;27.89
86710040;23.910004;52.16;27.83
86720044;24.479996;52.1;27.89
86730020;24.770004;51.28;28.71
86740012;24.539993;49.43;30.56
86749996;24.059998;48.44;31.55
86759992;23.529999;48.04;31.95
86769984;22.970001;47.68;32.31
86779972;22.350006;47.27;32.72
86789976;21.690002;46.81;33.18
86799988;20.910004;46.14;33.85
86809972;20.070007;45.53;34.46
86819960;19.169998;44.98;35.01
86829952;18.229996;44.46;35.53
86839960;17.289993;44.06;35.93
86849944;16.36;43.74;36.25
86859924;15.419998;43.27;36.72
86869940;14.449997;42.77;37.22
86879912;13.440002;42.24;37.75
86889904;12.380005;41.6;38.39
86899896;11.2400055;40.89;39.1
86909900;10.080002;40.35;39.64
86919892;8.880005;39.7;40.29
86929892;7.669998;39.16;40.83
86939856;6.4900055;38.75;41.24
86949856;5.3200073;38.3;41.69
86959852;4.1399994;37.78;42.21
86969844;2.949997;37.27;42.72
86979840;1.7700043;36.79;43.2
86989848;0.55000305;36.16;43.83
86999836;-0.69999695;35.52;44.47
87009832;-1.9600067;34.99;45.0
87019792;-3.2100067;34.46;45.53
87029776;-4.4299927;34.07;45.92
87039772;-5.619995;33.69;46.3
87049780;-6.7700043;33.36;46.63
87059788;-7.9100037;32.9;47.09
87069768;-9.059998;32.4;47.59
87079768;-10.199997;31.94;48.05
87089768;-11.330002;31.5;48.49
87099764;-12.429993;31.17;48.82
87109748;-13.5;30.77;49.22
87119728;-14.550003;30.43;49.56
87129732;-15.559998;30.17;49.82
87139712;-16.509995;29.94;50.05
87149700;-17.410004;29.75;50.24
87159680;-18.270004;29.5;50.49
87169676;-19.089996;29.32;50.67
87179672;-19.86;29.14;50.85
87189668;-20.580002;29.01;50.98
87199656;-21.259995;28.87;51.12
87209636;-21.89;28.77;51.22
87219652;-22.470001;28.72;51.27
87229628;-22.970001;28.75;51.24
87239620;-23.410004;28.76;51.23
87249616;-23.779999;28.85;51.14
87259612;-24.11;28.86;51.13
87269584;-24.380005;28.93;51.06
87279604;-24.61;29.0;50.99
87289596;-24.770004;29.15;50.84
87299596;-24.869995;29.3;50.69
87309612;-24.910004;29.48;50.51
87319576;-24.880005;29.71;50.28
87329568;-24.789993;29.99;50.0
87339560;-24.630005;30.26;49.73
87349540;-24.410004;30.56;49.43
87359540;-24.14;30.85;49.14
87369536;-23.820007;31.15;48.84
87379532;-23.440002;31.47;48.52
87389516;-23.009995;31.84;48.15
87399492;-22.520004;32.25;47.74
87409508;-21.979996;32.63;47.36
87419500;-21.399994;33.03;46.96
87429480;-20.75;33.51;46.48
87439476;-20.059998;33.94;46.05
87449476;-19.330002;34.39;45.6
87459476;-18.559998;34.82;45.17
87469472;-17.75;35.32;44.67
87479464;-16.899994;35.78;44.21
87489440;-16.020004;36.25;43.74
87499444;-15.110001;36.75;43.24
87509452;-14.149994;37.27;42.72
87519420;-13.160004;37.85;42.14
87529420;-12.139999;38.34;41.65
87539404;-11.080002;38.89;41.1
87549408;-10.0;39.44;40.55
87559396;-8.899994;39.95;40.04
87569404;-7.779999;40.52;39.47
87579388;-6.649994;40.99;39.0
87589368;-5.4900055;41.59;38.4
87599352;-4.3200073;42.08;37.91
87609336;-3.1600037;42.55;37.44
87619356;-1.9799957;43.11;36.88
87629360;-0.80999756;43.57;36.42
